epoch,train_loss,valid_loss,valid_mse,valid_mae,time
0,0.3792390006024935,0.3482312252119803,0.30034562945365906,0.3482312560081482,00:07
1,0.331789806231504,0.33865894676559083,0.2890917658805847,0.33865901827812195,00:08
2,0.3179025260775294,0.33426426593271336,0.2860853374004364,0.33426421880722046,00:07
3,0.30786655730830087,0.33532671037335887,0.2867344617843628,0.3353266716003418,00:04
4,0.29623785513236545,0.33724827338621444,0.2877362072467804,0.3372482359409332,00:07
5,0.28215766032003575,0.3408092861050328,0.2925432324409485,0.3408092260360718,00:07
6,0.2661540989243019,0.34831892351613786,0.2997772991657257,0.3483189344406128,00:04
7,0.24931175077463447,0.3509735281044858,0.3048780560493469,0.3509734869003296,00:07
8,0.2331528018007047,0.35443534600656457,0.31195351481437683,0.3544353246688843,00:07
9,0.21772824190479503,0.36385958014223196,0.3283824324607849,0.36385953426361084,00:07
10,0.20395883655578834,0.3659721177516411,0.3324805796146393,0.36597204208374023,00:04
11,0.1919912604108676,0.3694553901121444,0.33725786209106445,0.369455486536026,00:08
12,0.18164664821797444,0.3733168934628009,0.3472898304462433,0.37331685423851013,00:07
13,0.17307176047587827,0.374011684559628,0.3495310842990875,0.37401172518730164,00:07
14,0.16589335796719798,0.3759316021608315,0.35030296444892883,0.3759315311908722,00:07
15,0.16004897663094436,0.3751503948987965,0.350015252828598,0.3751503825187683,00:07
16,0.15481067981500338,0.37439632624452956,0.34872519969940186,0.37439635396003723,00:08
17,0.1506896541659952,0.3754348160557987,0.3511430621147156,0.3754348158836365,00:04
18,0.14654045816973835,0.37536036652078775,0.3519856333732605,0.3753603398799896,00:07
19,0.14290797129548918,0.3775062824808534,0.3555382490158081,0.37750619649887085,00:07
20,0.13976761423569398,0.3769174815371991,0.35401445627212524,0.3769175410270691,00:07
21,0.1368269676265053,0.376406292737965,0.35276687145233154,0.3764062523841858,00:05
22,0.13488679039911072,0.37735067355032825,0.35579803586006165,0.3773505985736847,00:07
23,0.13247072172401037,0.376878974630744,0.3539447784423828,0.37687888741493225,00:07
24,0.13072227167969322,0.3762818397839168,0.35253018140792847,0.37628185749053955,00:06
25,0.12874740014448857,0.37804700321389495,0.35648471117019653,0.3780469298362732,00:07
26,0.12737201763437986,0.37620833048413566,0.353117972612381,0.37620824575424194,00:07
27,0.12603019918452782,0.37697201518052514,0.3556514382362366,0.3769720494747162,00:07
28,0.12458478424690146,0.3777736939277899,0.35565632581710815,0.37777379155158997,00:04
29,0.12331504411570805,0.3774043951723195,0.35498982667922974,0.3774043619632721,00:07
30,0.12203325754856574,0.3779823406728665,0.35473135113716125,0.37798237800598145,00:08
31,0.12101663564160978,0.37926426593271334,0.3567369878292084,0.37926408648490906,00:07
32,0.1197944231353834,0.379050832535558,0.35660672187805176,0.37905073165893555,00:04
33,0.11895738182703859,0.3776343681619256,0.35635387897491455,0.3776344954967499,00:09
34,0.11805549435368382,0.3778531865426696,0.35425466299057007,0.37785324454307556,00:09
35,0.11696265942499413,0.3784695107357768,0.3561667799949646,0.3784695267677307,00:07
36,0.11619805410858434,0.37932845835612694,0.35784509778022766,0.37932831048965454,00:08
37,0.11553018510650766,0.3782203483998906,0.3550357520580292,0.37822040915489197,00:07
38,0.11474965617583287,0.37916413088074397,0.3569735884666443,0.3791641891002655,00:03
39,0.11372764055586891,0.3788967194338074,0.35674944519996643,0.37889671325683594,00:06
40,0.11313309457545269,0.3813160301559081,0.3613373935222626,0.3813159763813019,00:07
41,0.1124094070818622,0.38067376401805253,0.3604012429714203,0.38067376613616943,00:07
42,0.11176754092697926,0.3797614366794311,0.35797762870788574,0.3797614574432373,00:04
43,0.11107301095888028,0.3794320551832604,0.3562430441379547,0.37943199276924133,00:07
44,0.11041223819460723,0.3801886881154267,0.3580479025840759,0.38018861413002014,00:07
45,0.10970861617182236,0.3802543336296499,0.35803738236427307,0.3802544176578522,00:06
46,0.10914952276656216,0.3809434405771335,0.35952335596084595,0.38094332814216614,00:04
47,0.10850705572057488,0.3821550618845733,0.3616523742675781,0.38215500116348267,00:08
48,0.10801724362895192,0.38120828774617066,0.36006903648376465,0.3812083899974823,00:07
49,0.10742425710402077,0.38304614845459517,0.3627792000770569,0.38304606080055237,00:07
50,0.10685404005986478,0.381941329321663,0.35996660590171814,0.38194140791893005,00:03
51,0.10632429017019983,0.3825101288977024,0.3616679906845093,0.38251015543937683,00:07
52,0.10584419248476369,0.3830733298003282,0.3622729182243347,0.3830733299255371,00:08
53,0.10524046860807525,0.38328928473741797,0.3619973063468933,0.3832893371582031,00:04
54,0.104769462977325,0.38408998051148796,0.3641204237937927,0.38408994674682617,00:07
55,0.10441516613666163,0.3842152454868709,0.36459529399871826,0.38421523571014404,00:07
56,0.10382589226033945,0.3850996221963895,0.3662058413028717,0.38509973883628845,00:07
57,0.10334487177785022,0.38509359614332606,0.3659442365169525,0.3850935101509094,00:05
58,0.10296498699099373,0.38585416096827135,0.3668144941329956,0.3858543038368225,00:07
