epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.32364892547550095,0.1403063795139097,0.14030638337135315,0.3745749294757843,0.31588444113731384,-3.7628612518310547,-0.3756136894226074,00:02
1,0.05553544915760019,0.15760267775216472,0.1576026827096939,0.3969920575618744,0.35236406326293945,-4.35000467300415,-0.13523483276367188,00:02
2,0.028496229043959376,0.15581052346746166,0.15581052005290985,0.394728422164917,0.3533461093902588,-4.289167404174805,-0.05087387561798096,00:02
3,0.027019803137352263,0.15771702357700892,0.1577170044183731,0.39713600277900696,0.35665014386177063,-4.353885173797607,-0.03595709800720215,00:02
4,0.025887937312881575,0.15943810672339406,0.1594380885362625,0.39929699897766113,0.35959696769714355,-4.412309646606445,-0.022732973098754883,00:02
5,0.023281900481126723,0.15301872099806,0.15301872789859772,0.3911760747432709,0.3517132103443146,-4.194396495819092,0.004816710948944092,00:02
6,0.01838950083714093,0.1506946596637554,0.15069465339183807,0.38819408416748047,0.3501558005809784,-4.115503311157227,0.04660314321517944,00:02
7,0.013245036890152924,0.14395077230832035,0.14395076036453247,0.37940844893455505,0.34171339869499207,-3.8865742683410645,0.0772506594657898,00:02
8,0.010317413196312911,0.12991268637082035,0.12991268932819366,0.36043402552604675,0.3208473026752472,-3.4100356101989746,0.08448314666748047,00:02
9,0.008397031054320601,0.11015983281633884,0.11015982180833817,0.331903338432312,0.28867655992507935,-2.739502429962158,0.0893714427947998,00:02
10,0.00668506132638223,0.09023363912551309,0.09023364633321762,0.3003891408443451,0.25219666957855225,-2.063084840774536,0.09599781036376953,00:02
11,0.005157469747659185,0.06746692602609285,0.06746692210435867,0.25974395871162415,0.2027285397052765,-1.2902421951293945,0.10490572452545166,00:02
12,0.003951925804410492,0.052069962996193,0.05206995829939842,0.2281884253025055,0.1612241119146347,-0.767574667930603,0.11479485034942627,00:02
13,0.0031048843393343723,0.0403936867060163,0.04039368778467178,0.20098181068897247,0.12194687873125076,-0.37121009826660156,0.12795543670654297,00:02
14,0.0024936308171051923,0.03643991208830821,0.03643990680575371,0.19089239835739136,0.11060501635074615,-0.23699474334716797,0.13798731565475464,00:02
