Datetime,Survival Rate (%),Disease Occurrence (Cases),Temperature (°C),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Precipitation (inches),Average Fish Weight (g)
2024-02-28 00:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 01:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 02:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 03:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 04:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 05:00:00,93.05,1.0,26.5,6.47,7.34,2.79,0.2,278.1
2024-02-28 06:00:00,93.22105263157894,1.0,26.59736842105263,6.544736842105263,7.373157894736842,2.79,0.2278947368421053,278.5421052631579
2024-02-28 07:00:00,93.39210526315789,1.0,26.69473684210526,6.619473684210526,7.406315789473684,2.79,0.2557894736842106,278.9842105263158
2024-02-28 08:00:00,93.56315789473683,1.0,26.7921052631579,6.694210526315789,7.439473684210526,2.79,0.2836842105263158,279.4263157894737
2024-02-28 09:00:00,93.73421052631579,1.0,26.88947368421053,6.768947368421053,7.472631578947368,2.79,0.3115789473684211,279.8684210526316
2024-02-28 10:00:00,93.90526315789474,1.0,26.98684210526316,6.843684210526315,7.50578947368421,2.79,0.3394736842105263,280.3105263157895
2024-02-28 11:00:00,94.07631578947368,1.0,27.08421052631579,6.918421052631579,7.538947368421052,2.79,0.3673684210526316,280.7526315789474
2024-02-28 12:00:00,94.24736842105263,1.0,27.18157894736842,6.993157894736842,7.572105263157894,2.79,0.3952631578947369,281.1947368421053
2024-02-28 13:00:00,94.41842105263157,1.0,27.27894736842105,7.067894736842105,7.605263157894736,2.79,0.4231578947368421,281.6368421052632
2024-02-28 14:00:00,94.58947368421052,1.0,27.37631578947369,7.142631578947368,7.638421052631578,2.79,0.4510526315789474,282.078947368421
2024-02-28 15:00:00,94.76052631578948,1.0,27.47368421052632,7.217368421052631,7.671578947368421,2.79,0.4789473684210526,282.521052631579
2024-02-28 16:00:00,94.93157894736842,1.0,27.57105263157895,7.292105263157895,7.704736842105263,2.79,0.506842105263158,282.9631578947369
2024-02-28 17:00:00,95.10263157894737,1.0,27.66842105263158,7.366842105263157,7.737894736842105,2.79,0.5347368421052632,283.4052631578948
2024-02-28 18:00:00,95.27368421052631,1.0,27.76578947368421,7.441578947368421,7.771052631578947,2.79,0.5626315789473684,283.8473684210526
2024-02-28 19:00:00,95.44473684210526,1.0,27.86315789473684,7.516315789473683,7.804210526315789,2.79,0.5905263157894738,284.2894736842105
2024-02-28 20:00:00,95.6157894736842,1.0,27.96052631578948,7.591052631578947,7.837368421052632,2.79,0.618421052631579,284.7315789473684
2024-02-28 21:00:00,95.78684210526316,1.0,28.05789473684211,7.66578947368421,7.870526315789474,2.79,0.6463157894736842,285.1736842105263
2024-02-28 22:00:00,95.9578947368421,1.0,28.15526315789474,7.740526315789474,7.903684210526316,2.79,0.6742105263157895,285.6157894736842
2024-02-28 23:00:00,96.12894736842105,1.0,28.25263157894737,7.815263157894737,7.936842105263158,2.79,0.7021052631578948,286.0578947368421
2024-02-29 00:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 01:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 02:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 03:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 04:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 05:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
2024-02-29 06:00:00,96.3,1.0,28.35,7.89,7.97,2.79,0.73,286.5
