epoch,train_loss,valid_loss,valid_mse,valid_mae,time
0,0.03277989751610215,0.2902277254057799,0.29022765159606934,0.5124951601028442,00:06
1,0.019341335008293697,0.15940515216270024,0.15940514206886292,0.37079185247421265,00:06
2,0.009862305846567738,0.059010728775304146,0.05901072919368744,0.2149641364812851,00:07
3,0.002719395683520197,0.01569042162828697,0.01569042168557644,0.09835642576217651,00:05
4,0.0006295294901996553,0.0174258363559843,0.017425836995244026,0.10308302938938141,00:06
5,0.0004139435038314422,0.01960257477879096,0.019602572545409203,0.10857213288545609,00:06
6,0.00033956391983836984,0.022620448953479963,0.02262045070528984,0.11907712370157242,00:06
7,0.00031039318604949206,0.022293640058654418,0.022293636575341225,0.11868445575237274,00:06
8,0.0002975098935146169,0.020314757546159367,0.020314758643507957,0.11274358630180359,00:06
9,0.00028144323274140295,0.019420060368561195,0.019420061260461807,0.1106620505452156,00:06
10,0.00027744707369906936,0.018553693109093314,0.01855369657278061,0.1086193174123764,00:06
11,0.0002687800738861237,0.017889899076051374,0.017889896407723427,0.10723411291837692,00:06
12,0.0002599864882713413,0.016806927455663027,0.01680692285299301,0.10416702926158905,00:04
13,0.0002416390192608909,0.015822588261170365,0.015822583809494972,0.10113903880119324,00:06
14,0.0002388750505327389,0.015189260692702147,0.015189261175692081,0.09964624047279358,00:07
15,0.00023834402675356665,0.016145207703465687,0.01614520512521267,0.10456734150648117,00:06
16,0.0002225047846839081,0.013165927977340943,0.013165931217372417,0.09227710217237473,00:05
17,0.00022267484233432514,0.013936140424144188,0.013936142437160015,0.09665562212467194,00:06
18,0.0002066150751001382,0.012742988432620459,0.01274298969656229,0.09190631657838821,00:06
19,0.0002078453590529099,0.014254630820833523,0.014254630543291569,0.10020601004362106,00:06
20,0.0002045004947694149,0.014020126494255417,0.014020129106938839,0.10006751120090485,00:05
21,0.00020275511877211117,0.013164408510862036,0.013164408504962921,0.09617552161216736,00:07
22,0.00019147810593595017,0.011889406066333211,0.01188940741121769,0.09074971079826355,00:08
23,0.00019456777310677354,0.012124800698040856,0.012124800123274326,0.09266900271177292,00:07
24,0.00017407525602520884,0.013307759718102408,0.013307759538292885,0.0996551439166069,00:05
25,0.0002086674774109463,0.011859465606669008,0.011859468184411526,0.09177905321121216,00:06
26,0.00017490554450357354,0.011848196462618098,0.011848196387290955,0.09295447170734406,00:06
27,0.00017597416220034874,0.010745617683959418,0.010745612904429436,0.08746443688869476,00:06
28,0.0001922705735656284,0.010488825061012109,0.010488823987543583,0.08599884808063507,00:04
29,0.00019067185122821788,0.01016621677076434,0.010166216641664505,0.0840926542878151,00:06
30,0.0001722781529535765,0.01108388530764425,0.011083885096013546,0.09018861502408981,00:06
31,0.00017669594126810308,0.010253778001453157,0.010253778658807278,0.08607840538024902,00:06
32,0.00016506012398085702,0.009233198369766923,0.009233197197318077,0.08046520501375198,00:06
33,0.0001608698564963899,0.010970635335420283,0.010970636270940304,0.09069758653640747,00:05
34,0.00016562386228351054,0.011738454738686411,0.011738455854356289,0.09424442052841187,00:06
