epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,time
0,0.03042862611076599,0.2751602226203972,0.2751602530479431,0.5245571732521057,0.5097352862358093,-18.570274353027344,00:05
1,0.007389248183329282,0.14931131909777234,0.14931133389472961,0.3864082396030426,0.3660167455673218,-9.61949634552002,00:04
2,0.0018873497719244048,0.1073893567065259,0.10738936811685562,0.32770317792892456,0.30357375741004944,-6.637874126434326,00:04
3,0.0014444146229121088,0.10262225224421574,0.10262225568294525,0.3203471004962921,0.29622748494148254,-6.298821926116943,00:04
4,0.0013129876965715368,0.09941759309568605,0.09941757470369339,0.31530553102493286,0.2915308475494385,-6.070895195007324,00:04
5,0.0011982522413319177,0.09689280369898656,0.09689280390739441,0.31127607822418213,0.2880173921585083,-5.891324996948242,00:04
6,0.0010992461753763887,0.09329986572265625,0.09329985827207565,0.3054502606391907,0.28262585401535034,-5.6357831954956055,00:01
7,0.0010143038244970041,0.08846633084170469,0.0884663388133049,0.29743289947509766,0.27490758895874023,-5.292007923126221,00:04
8,0.0009400633974330839,0.08683997601062268,0.08683998137712479,0.2946862280368805,0.2730167508125305,-5.176336288452148,00:04
9,0.0008803297002732462,0.08201339028098366,0.08201337605714798,0.28637978434562683,0.26497742533683777,-4.833052635192871,00:04
10,0.0008270410391000601,0.079097854507553,0.07909785956144333,0.2812434136867523,0.26035574078559875,-4.625692367553711,00:04
11,0.0007875956846087166,0.07791633872719078,0.07791633903980255,0.27913498878479004,0.25891777873039246,-4.541658401489258,00:04
12,0.0007561372906974192,0.07295429789936626,0.07295428961515427,0.27010050415992737,0.2498081773519516,-4.188742160797119,00:01
13,0.0007311485508133238,0.07458908908017031,0.0745890736579895,0.2731100022792816,0.25364065170288086,-4.305013179779053,00:04
14,0.0007000216761847045,0.0709713822478181,0.07097137719392776,0.26640453934669495,0.2469184249639511,-4.047710418701172,00:04
15,0.0006732566457631368,0.07095775070723954,0.0709577351808548,0.2663789391517639,0.24730868637561798,-4.046741008758545,00:04
16,0.0006473458833290568,0.07234332611510803,0.07234333455562592,0.2689671516418457,0.25040358304977417,-4.145288944244385,00:04
17,0.0006044460352680862,0.06988418685806382,0.06988418847322464,0.26435616612434387,0.24582882225513458,-3.970386505126953,00:04
18,0.0005346511977098751,0.06697115864787069,0.06697116047143936,0.2587878704071045,0.24050764739513397,-3.76320219039917,00:01
19,0.00043319909863154645,0.058809006964410104,0.05880899354815483,0.24250565469264984,0.22423303127288818,-3.182682991027832,00:04
20,0.0003260577593918528,0.044271012286206224,0.04427101090550423,0.21040678024291992,0.1913379579782486,-2.148695230484009,00:04
21,0.00025890655869264417,0.03721818056973544,0.03721817955374718,0.19292013347148895,0.17390117049217224,-1.6470756530761719,00:04
22,0.00021426168720373946,0.030669272362769066,0.030669275671243668,0.17512644827365875,0.15553371608257294,-1.1812965869903564,00:04
23,0.00019798449156642201,0.02712590877826397,0.02712590992450714,0.16469945013523102,0.145132377743721,-0.9292812347412109,00:04
24,0.00018472579465891916,0.024883166893378838,0.024883165955543518,0.15774399042129517,0.1390227973461151,-0.7697699069976807,00:04
25,0.00017094419793140233,0.021110396285157103,0.021110394969582558,0.1452941596508026,0.12659187614917755,-0.5014388561248779,00:01
26,0.00016382303130760623,0.020418495565027624,0.020418496802449226,0.14289329946041107,0.12571921944618225,-0.4522286653518677,00:05
27,0.00015861825275338717,0.01461614261973988,0.014616142958402634,0.12089724093675613,0.10194635391235352,-0.03954660892486572,00:04
28,0.00015205248945626907,0.013620668357902474,0.013620667159557343,0.11670761555433273,0.09851066768169403,0.031254708766937256,00:04
29,0.00014916173802504654,0.010208660072380013,0.01020866073668003,0.10103791952133179,0.08047198504209518,0.2739274501800537,00:04
30,0.0001495952738083532,0.011999352828606025,0.011999351903796196,0.10954155027866364,0.09195681661367416,0.14656776189804077,00:04
31,0.00014199604736697395,0.0105909217487682,0.010590922087430954,0.10291220992803574,0.0850660651922226,0.24673986434936523,00:01
32,0.00013304006740841526,0.011003679328865104,0.011003679595887661,0.10489842295646667,0.08867185562849045,0.2173832654953003,00:04
33,0.0001280831315269459,0.008561291894712648,0.008561292663216591,0.09252725541591644,0.0753069818019867,0.39109355211257935,00:04
34,0.0001243370405640598,0.007609909231012518,0.007609909400343895,0.08723479509353638,0.0694861114025116,0.45875900983810425,00:04
35,0.0001223705784108858,0.00801007814340658,0.00801007729023695,0.08949903398752213,0.07287827134132385,0.4302977919578552,00:04
36,0.00011400887273086728,0.006348750391206541,0.0063487510196864605,0.07967904955148697,0.06124553084373474,0.5484566688537598,00:04
37,0.0001109001307486114,0.007344307599367795,0.007344307377934456,0.0856989324092865,0.06965630501508713,0.477649450302124,00:01
38,0.00010394015596566163,0.00527664914831415,0.005276649259030819,0.0726405456662178,0.05404339358210564,0.6247078776359558,00:04
39,9.965157515718971e-05,0.0038194868948076156,0.0038194868247956038,0.06180199608206749,0.04082086309790611,0.7283458709716797,00:07
40,9.899522000518597e-05,0.0041286686917284985,0.004128668922930956,0.06425472348928452,0.04392271488904953,0.7063559293746948,00:07
41,9.505478802073486e-05,0.005094229758202613,0.005094229243695736,0.07137386500835419,0.05457434803247452,0.6376821398735046,00:06
42,9.542824864147101e-05,0.003983033286941635,0.003983032424002886,0.06311126798391342,0.04330102726817131,0.7167140245437622,00:03
43,0.00010066187646195992,0.007034604366009052,0.00703460443764925,0.08387254923582077,0.06901693344116211,0.4996764659881592,00:07
44,9.032090504964192e-05,0.005220325259895592,0.005220325198024511,0.0722518190741539,0.05504138022661209,0.6287137866020203,00:06
45,8.417042007160545e-05,0.004283030549963037,0.004283030051738024,0.06544486433267593,0.046500954777002335,0.6953772306442261,00:06
46,9.106196027363937e-05,0.004041096964082518,0.00404109712690115,0.06356962770223618,0.04262701794505119,0.7125842571258545,00:03
47,8.929761470617735e-05,0.005338512934171236,0.005338511895388365,0.0730651244521141,0.05526820197701454,0.6203080415725708,00:07
48,8.078782986371945e-05,0.004014668347952249,0.004014667589217424,0.06336140632629395,0.04232636094093323,0.714464008808136,00:06
49,7.956008064887669e-05,0.004625232903273789,0.004625232424587011,0.06800906360149384,0.048615943640470505,0.6710387468338013,00:04
50,8.175619669930456e-05,0.004638698551204655,0.004638698883354664,0.06810799241065979,0.04781438410282135,0.6700809597969055,00:04
51,7.763390443538664e-05,0.0041031174726419515,0.004103117622435093,0.06405558437108994,0.042248234152793884,0.7081732153892517,00:01
52,7.579081410875378e-05,0.0037625752962552584,0.0037625753320753574,0.061339836567640305,0.040250737220048904,0.7323936223983765,00:04
53,8.00056094843041e-05,0.003974498151899218,0.003974498715251684,0.06304362416267395,0.041476890444755554,0.7173210382461548,00:04
54,7.697397060059086e-05,0.005011010003256631,0.0050110104493796825,0.07078849524259567,0.04931250587105751,0.6436009407043457,00:04
55,7.517089145872512e-05,0.005241896305884515,0.0052418955601751804,0.07240093499422073,0.052187491208314896,0.6271796226501465,00:04
56,7.39536241439604e-05,0.004856398055603454,0.0048563978634774685,0.0696878582239151,0.047005701810121536,0.6545975208282471,00:04
57,7.482007751201079e-05,0.005477840250188654,0.005477840080857277,0.07401243597269058,0.05253779888153076,0.610398530960083,00:01
58,7.912656547218878e-05,0.005984473895359706,0.0059844739735126495,0.07735937833786011,0.056666288524866104,0.5743651390075684,00:04
59,7.65228092893679e-05,0.0044146480260195435,0.004414647817611694,0.0664428174495697,0.043574243783950806,0.6860162019729614,00:04
60,6.917747699778213e-05,0.0049418869552078784,0.004941888153553009,0.07029856741428375,0.04705395549535751,0.6485171914100647,00:04
61,6.85962261023009e-05,0.004480948398163268,0.00448094867169857,0.06693989038467407,0.04404216259717941,0.6813006401062012,00:04
62,7.492520561207272e-05,0.0040887227425208455,0.004088721703737974,0.06394311785697937,0.04201909527182579,0.7091970443725586,00:04
63,7.186728642056223e-05,0.0056631594271092985,0.005663159303367138,0.07525396347045898,0.05278671532869339,0.5972180962562561,00:01
64,7.027532895680842e-05,0.005771646132835975,0.005771646276116371,0.07597135007381439,0.0539017990231514,0.5895020961761475,00:04
65,7.27142115828971e-05,0.006239690147079788,0.006239690817892551,0.07899171113967896,0.05730603635311127,0.55621337890625,00:04
66,7.043715273396353e-05,0.006411957574057412,0.006411956623196602,0.08007469773292542,0.05934092402458191,0.5439611673355103,00:04
67,7.075174024489042e-05,0.00630558704162811,0.006305587012320757,0.07940772920846939,0.05764725059270859,0.5515264868736267,00:04
68,7.039997839371295e-05,0.003917707013083504,0.00391770713031292,0.06259158998727798,0.04143986478447914,0.7213602066040039,00:04
69,7.181019921771252e-05,0.005284833324539078,0.0052848332561552525,0.07269685715436935,0.04824085161089897,0.6241257786750793,00:01
70,6.406215177561838e-05,0.004135506970065457,0.00413550715893507,0.06430790573358536,0.04162965714931488,0.7058695554733276,00:04
71,8.056748328927407e-05,0.004881114809663145,0.004881114698946476,0.06986497342586517,0.04572223126888275,0.6528395414352417,00:04
72,6.80527746145061e-05,0.005628207346776148,0.005628207232803106,0.07502137869596481,0.050068747252225876,0.5997039079666138,00:05
73,6.802700947217796e-05,0.007007903152412468,0.007007902953773737,0.08371321856975555,0.0615495927631855,0.5015755295753479,00:04
74,6.44257761703311e-05,0.005452718351270769,0.005452718120068312,0.07384251803159714,0.04911469295620918,0.6121853590011597,00:04
75,7.414546489578199e-05,0.008301475664952419,0.008301475085318089,0.09111243486404419,0.07058469206094742,0.4095726013183594,00:02
76,6.596862119269693e-05,0.00536498114779279,0.005364981014281511,0.07324603199958801,0.04773526266217232,0.6184253692626953,00:04
77,6.52669932992683e-05,0.004454696511888837,0.004454696085304022,0.06674350798130035,0.04398943483829498,0.6831678152084351,00:04
78,7.036480976435542e-05,0.0060976589476311955,0.006097659468650818,0.07808750867843628,0.05188737064599991,0.5663150548934937,00:04
