epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,time
0,0.24491631019321541,1.0240403822251967,1.0240403413772583,1.011948823928833,1.0034706592559814,-71.83302307128906,00:04
1,0.11103431347611821,0.5859723391232791,0.5859723091125488,0.7654882669448853,0.753376305103302,-40.676212310791016,00:04
2,0.03039929821233081,0.2411659880951568,0.24116604030132294,0.49108657240867615,0.47544097900390625,-16.152496337890625,00:04
3,0.012655848259270679,0.16410755610966182,0.1641075760126114,0.4051019251346588,0.3905779719352722,-10.671854019165039,00:04
4,0.006665729630308004,0.12375602188643876,0.12375600636005402,0.3517897129058838,0.33819133043289185,-7.801921844482422,00:02
5,0.003538459946178544,0.1016210742763706,0.10162108391523361,0.3187806308269501,0.30569949746131897,-6.227615833282471,00:04
6,0.0021340395777305764,0.08901582731233611,0.08901581913232803,0.29835519194602966,0.2852657437324524,-5.331089496612549,00:04
7,0.0016001603948299836,0.0850595594286085,0.08505956083536148,0.291649729013443,0.2785458266735077,-5.049707412719727,00:04
8,0.0014129224096893504,0.0815004068654734,0.08150041848421097,0.2854827642440796,0.2720678746700287,-4.79656982421875,00:04
9,0.0013282147182780467,0.08256420055469432,0.08256420493125916,0.28733986616134644,0.2738289535045624,-4.872230052947998,00:04
10,0.0012736828138439952,0.08439489511343148,0.08439487963914871,0.290507972240448,0.27693337202072144,-5.002432823181152,00:05
11,0.0011986433320744022,0.0816353484467193,0.08163533359766006,0.28571897745132446,0.27174416184425354,-4.8061652183532715,00:04
12,0.0011233347345201183,0.07516364784507484,0.07516364753246307,0.27415990829467773,0.2593799829483032,-4.345878601074219,00:04
13,0.0010292751340024357,0.07518418185360781,0.0751841813325882,0.2741973400115967,0.25926128029823303,-4.347338676452637,00:04
14,0.0009240479334795659,0.07027464646559495,0.07027463614940643,0.2650936245918274,0.24930782616138458,-3.9981560707092285,00:04
15,0.0007719121486951916,0.06665390521496325,0.06665391474962234,0.25817418098449707,0.24212174117565155,-3.7406387329101562,00:04
16,0.0005748727519041414,0.056782055568028164,0.056782063096761703,0.23828987777233124,0.2223975658416748,-3.0385208129882812,00:04
17,0.00038275174166095376,0.04147716002030806,0.04147716239094734,0.20365943014621735,0.18874232470989227,-1.9499878883361816,00:03
